Index,KEGG Drug ID
1,D00002
2,D00005
3,D00007
4,D00014
5,D00018
6,D00021
7,D00027
8,D00029
9,D00032
10,D00035
11,D00036
12,D00037
13,D00038
14,D00039
15,D00041
16,D00043
17,D00045
18,D00049
19,D00050
20,D00052
21,D00054
22,D00055
23,D00065
24,D00070
25,D00086
26,D00094
27,D00097
28,D00103
29,D00107
30,D00109
31,D00118
32,D00120
33,D00125
34,D00126
35,D00127
36,D00129
37,D00130
38,D00131
39,D00132
40,D00136
41,D00139
42,D00141
43,D00142
44,D00145
45,D00148
46,D00151
47,D00153
48,D00155
49,D00158
50,D00160
51,D00168
52,D00169
53,D00183
54,D00184
55,D00185
56,D00186
57,D00187
58,D00188
59,D00196
60,D00198
61,D00203
62,D00208
63,D00216
64,D00217
65,D00218
66,D00219
67,D00222
68,D00224
69,D00225
70,D00227
71,D00231
72,D00234
73,D00251
74,D00252
75,D00270
76,D00274
77,D00279
78,D00283
79,D00285
80,D00293
81,D00294
82,D00298
83,D00300
84,D00315
85,D00317
86,D00322
87,D00324
88,D00325
89,D00328
90,D00330
91,D00332
92,D00333
93,D00340
94,D00342
95,D00359
96,D00362
97,D00364
98,D00369
99,D00371
100,D00377
101,D00380
102,D00383
103,D00387
104,D00391
105,D00394
106,D00398
107,D00401
108,D00410
109,D00414
110,D00416
111,D00417
112,D00418
113,D00421
114,D00423
115,D00425
116,D00434
117,D00437
118,D00448
119,D00449
120,D00451
121,D00452
122,D00454
123,D00455
124,D00459
125,D00463
126,D00475
127,D00487
128,D00488
129,D00494
130,D00496
131,D00501
132,D00503
133,D00505
134,D00510
135,D00512
136,D00513
137,D00515
138,D00516
139,D00518
140,D00519
141,D00521
142,D00528
143,D00530
144,D00533
145,D00535
146,D00536
147,D00537
148,D00538
149,D00542
150,D00543
151,D00544
152,D00545
153,D00546
154,D00547
155,D00549
156,D00550
157,D00560
158,D00562
159,D00563
160,D00566
161,D00567
162,D00568
163,D00569
164,D00574
165,D00577
166,D00579
167,D00584
168,D00593
169,D00596
170,D00620
171,D00621
172,D00622
173,D00623
174,D00624
175,D00625
176,D00630
177,D00650
178,D00651
179,D00652
180,D00653
181,D00654
182,D00655
183,D00656
184,D00658
185,D00667
186,D00670
187,D00691
188,D00703
189,D00709
190,D00726
191,D00733
192,D00749
193,D00752
194,D00753
195,D00762
196,D00771
197,D00781
198,D00785
199,D00786
200,D00805
201,D00810
202,D00813
203,D00826
204,D00827
205,D00829
206,D00882
207,D00884
208,D00885
209,D00887
210,D00889
211,D00892
212,D00893
213,D00900
214,D00902
215,D00903
216,D00904
217,D00947
218,D00960
219,D00963
220,D00964
221,D00965
222,D00968
223,D00969
224,D00970
225,D00994
226,D00995
227,D00998
228,D01001
229,D01027
230,D01061
231,D01064
232,D01069
233,D01071
234,D01097
235,D01118
236,D01119
237,D01122
238,D01133
239,D01136
240,D01164
241,D01180
242,D01183
243,D01196
244,D01198
245,D01211
246,D01223
247,D01228
248,D01240
249,D01256
250,D01264
251,D01275
252,D01276
253,D01325
254,D01332
255,D01346
256,D01364
257,D01367
258,D01370
259,D01397
260,D01425
261,D01432
262,D01441
263,D01475
264,D01513
265,D01547
266,D01549
267,D01565
268,D01578
269,D01582
270,D01665
271,D01667
272,D01688
273,D01690
274,D01704
275,D01709
276,D01712
277,D01715
278,D01718
279,D01747
280,D01765
281,D01767
282,D01811
283,D01825
284,D01828
285,D01840
286,D01842
287,D01844
288,D01862
289,D01866
290,D01885
291,D01888
292,D01900
293,D01907
294,D01911
295,D01915
296,D01918
297,D01966
298,D01968
299,D01973
300,D01974
301,D01977
302,D01981
303,D01984
304,D02008
305,D02017
306,D02042
307,D02068
308,D02110
309,D02115
310,D02166
311,D02168
312,D02173
313,D02176
314,D02193
315,D02194
316,D02214
317,D02229
318,D02258
319,D02267
320,D02289
321,D02290
322,D02304
323,D02308
324,D02315
325,D02321
326,D02323
327,D02328
328,D02333
329,D02335
330,D02341
331,D02342
332,D02350
333,D02355
334,D02356
335,D02368
336,D02375
337,D02418
338,D02441
339,D02451
340,D02487
341,D02556
342,D02558
343,D02559
344,D02560
345,D02561
346,D02562
347,D02563
348,D02564
349,D02566
350,D02579
351,D02580
352,D02581
353,D02655
354,D02671
355,D02698
356,D02709
357,D02729
358,D02731
359,D02756
360,D02769
361,D02835
362,D02880
363,D03012
364,D03034
365,D03077
366,D03115
367,D03208
368,D03217
369,D03218
370,D03252
371,D03260
372,D03350
373,D03365
374,D03433
375,D03440
376,D03601
377,D03643
378,D03670
379,D03689
380,D03710
381,D03712
382,D03714
383,D03716
384,D03717
385,D03720
386,D03722
387,D03728
388,D03731
389,D03733
390,D03734
391,D03735
392,D03736
393,D03738
394,D03741
395,D03743
396,D03745
397,D03751
398,D03752
399,D03753
400,D03756
401,D03758
402,D03760
403,D03763
404,D03765
405,D03767
406,D03769
407,D03772
408,D03773
409,D03775
410,D03776
411,D03778
412,D03781
413,D03784
414,D03787
415,D03788
416,D03798
417,D03803
418,D03805
419,D03806
420,D03807
421,D03816
422,D03822
423,D03823
424,D03826
425,D03828
426,D03829
427,D03845
428,D03882
429,D03899
430,D04023
431,D04024
432,D04025
433,D04028
434,D04029
435,D04031
436,D04092
437,D04197
438,D04292
439,D04966
440,D04983
441,D05341
442,D05353
443,D05407
444,D05458
445,D06238
