Index,pro_id
1,hsa:10
2,hsa:100
3,hsa:10056
4,hsa:1017
5,hsa:1018
6,hsa:10188
7,hsa:1019
8,hsa:1020
9,hsa:1021
10,hsa:1022
11,hsa:1024
12,hsa:1025
13,hsa:10269
14,hsa:10279
15,hsa:10295
16,hsa:10327
17,hsa:1033
18,hsa:10461
19,hsa:10549
20,hsa:1056
21,hsa:10667
22,hsa:107
23,hsa:10720
24,hsa:10747
25,hsa:108
26,hsa:10825
27,hsa:10846
28,hsa:10858
29,hsa:109
30,hsa:10901
31,hsa:10924
32,hsa:10935
33,hsa:10941
34,hsa:11072
35,hsa:111
36,hsa:112
37,hsa:11202
38,hsa:11221
39,hsa:11238
40,hsa:11266
41,hsa:113
42,hsa:11330
43,hsa:11343
44,hsa:114
45,hsa:1147
46,hsa:115
47,hsa:116447
48,hsa:1178
49,hsa:1200
50,hsa:1215
51,hsa:124
52,hsa:125
53,hsa:126
54,hsa:1267
55,hsa:128
56,hsa:128853
57,hsa:129807
58,hsa:13
59,hsa:130399
60,hsa:131
61,hsa:1312
62,hsa:132
63,hsa:132160
64,hsa:133121
65,hsa:134510
66,hsa:1360
67,hsa:1363
68,hsa:1374
69,hsa:1376
70,hsa:1384
71,hsa:142679
72,hsa:1429
73,hsa:1431
74,hsa:1432
75,hsa:1436
76,hsa:1445
77,hsa:150290
78,hsa:1504
79,hsa:151531
80,hsa:1537
81,hsa:1543
82,hsa:1544
83,hsa:1545
84,hsa:1548
85,hsa:1549
86,hsa:1551
87,hsa:1553
88,hsa:1555
89,hsa:1557
90,hsa:1558
91,hsa:1559
92,hsa:1562
93,hsa:1565
94,hsa:1571
95,hsa:1572
96,hsa:1573
97,hsa:1576
98,hsa:1577
99,hsa:1579
100,hsa:1580
101,hsa:1581
102,hsa:1582
103,hsa:1583
104,hsa:1584
105,hsa:1585
106,hsa:1586
107,hsa:1588
108,hsa:1589
109,hsa:1593
110,hsa:1594
111,hsa:1595
112,hsa:1610
113,hsa:1621
114,hsa:1633
115,hsa:1636
116,hsa:1645
117,hsa:1675
118,hsa:1719
119,hsa:1723
120,hsa:1725
121,hsa:1728
122,hsa:1733
123,hsa:1734
124,hsa:1735
125,hsa:18
126,hsa:1800
127,hsa:1803
128,hsa:1806
129,hsa:1843
130,hsa:1844
131,hsa:1845
132,hsa:1846
133,hsa:1847
134,hsa:1848
135,hsa:1849
136,hsa:1850
137,hsa:1852
138,hsa:189
139,hsa:1890
140,hsa:191
141,hsa:1956
142,hsa:196883
143,hsa:1969
144,hsa:1990
145,hsa:1991
146,hsa:199974
147,hsa:2041
148,hsa:2042
149,hsa:2043
150,hsa:2044
151,hsa:2045
152,hsa:2046
153,hsa:2047
154,hsa:2048
155,hsa:2049
156,hsa:2050
157,hsa:2051
158,hsa:2058
159,hsa:2064
160,hsa:2065
161,hsa:2066
162,hsa:2098
163,hsa:2135
164,hsa:2147
165,hsa:2155
166,hsa:2158
167,hsa:2159
168,hsa:216
169,hsa:2160
170,hsa:2161
171,hsa:217
172,hsa:218
173,hsa:2180
174,hsa:2185
175,hsa:219
176,hsa:2193
177,hsa:2224
178,hsa:223
179,hsa:2232
180,hsa:2235
181,hsa:224
182,hsa:2241
183,hsa:2242
184,hsa:225689
185,hsa:2260
186,hsa:2261
187,hsa:2263
188,hsa:2264
189,hsa:2280
190,hsa:22843
191,hsa:22954
192,hsa:22978
193,hsa:23035
194,hsa:23097
195,hsa:231
196,hsa:2321
197,hsa:2322
198,hsa:23236
199,hsa:23239
200,hsa:2324
201,hsa:2326
202,hsa:2328
203,hsa:2339
204,hsa:2342
205,hsa:23430
206,hsa:23436
207,hsa:23475
208,hsa:2356
209,hsa:23632
210,hsa:238
211,hsa:239
212,hsa:240
213,hsa:242
214,hsa:246
215,hsa:247
216,hsa:25
217,hsa:2534
218,hsa:2548
219,hsa:25796
220,hsa:2582
221,hsa:25824
222,hsa:2595
223,hsa:2597
224,hsa:260293
225,hsa:26279
226,hsa:2638
227,hsa:2639
228,hsa:2673
229,hsa:2677
230,hsa:270
231,hsa:27032
232,hsa:27034
233,hsa:27115
234,hsa:2746
235,hsa:2766
236,hsa:279
237,hsa:28
238,hsa:2806
239,hsa:2822
240,hsa:28227
241,hsa:284541
242,hsa:285220
243,hsa:2876
244,hsa:2877
245,hsa:2878
246,hsa:2879
247,hsa:2880
248,hsa:2882
249,hsa:28972
250,hsa:2936
251,hsa:2950
252,hsa:29785
253,hsa:29920
254,hsa:29941
255,hsa:29968
256,hsa:30
257,hsa:3001
258,hsa:3002
259,hsa:3028
260,hsa:3033
261,hsa:3034
262,hsa:3035
263,hsa:3055
264,hsa:306
265,hsa:3067
266,hsa:30814
267,hsa:30833
268,hsa:31
269,hsa:313
270,hsa:3141
271,hsa:3156
272,hsa:32
273,hsa:326625
274,hsa:327
275,hsa:3283
276,hsa:3290
277,hsa:3291
278,hsa:3292
279,hsa:3295
280,hsa:3376
281,hsa:339221
282,hsa:34
283,hsa:3416
284,hsa:3480
285,hsa:349565
286,hsa:35
287,hsa:353
288,hsa:354
289,hsa:3551
290,hsa:36
291,hsa:3612
292,hsa:3614
293,hsa:3615
294,hsa:3643
295,hsa:3645
296,hsa:3702
297,hsa:3712
298,hsa:3716
299,hsa:3717
300,hsa:3718
301,hsa:3735
302,hsa:377677
303,hsa:3791
304,hsa:38
305,hsa:3815
306,hsa:3816
307,hsa:3817
308,hsa:3818
309,hsa:3906
310,hsa:390956
311,hsa:3932
312,hsa:3939
313,hsa:3945
314,hsa:3988
315,hsa:3990
316,hsa:3991
317,hsa:4017
318,hsa:4023
319,hsa:4025
320,hsa:4048
321,hsa:4051
322,hsa:4058
323,hsa:4067
324,hsa:4128
325,hsa:4129
326,hsa:4143
327,hsa:4145
328,hsa:4190
329,hsa:4191
330,hsa:4200
331,hsa:4233
332,hsa:4281
333,hsa:4282
334,hsa:43
335,hsa:4311
336,hsa:4329
337,hsa:4353
338,hsa:444
339,hsa:4482
340,hsa:4486
341,hsa:4548
342,hsa:4552
343,hsa:4593
344,hsa:4594
345,hsa:472
346,hsa:4758
347,hsa:4759
348,hsa:476
349,hsa:4835
350,hsa:4837
351,hsa:4860
352,hsa:4881
353,hsa:49
354,hsa:4907
355,hsa:4914
356,hsa:4915
357,hsa:4916
358,hsa:4919
359,hsa:4920
360,hsa:4921
361,hsa:4942
362,hsa:495
363,hsa:4953
364,hsa:50
365,hsa:501
366,hsa:5033
367,hsa:5045
368,hsa:50484
369,hsa:50487
370,hsa:5049
371,hsa:5050
372,hsa:5051
373,hsa:5052
374,hsa:5053
375,hsa:5091
376,hsa:50940
377,hsa:5095
378,hsa:5096
379,hsa:51
380,hsa:51004
381,hsa:51095
382,hsa:51166
383,hsa:51172
384,hsa:51181
385,hsa:51205
386,hsa:51207
387,hsa:5122
388,hsa:51251
389,hsa:5126
