Protein ID,Disease Information
10,Cancer: overview Chemical carcinogenesis - DNA adducts
100,Immune disease Primary immunodeficiency
10056,No Human Disease data found
1017,Cancer: overview Pathways in cancer
1018,No Human Disease data found
10188,No Human Disease data found
1019,Cancer: overview Pathways in cancer
1020,Neurodegenerative disease Alzheimer disease
1021,Cancer: overview Pathways in cancer
1022,No Human Disease data found
1024,No Human Disease data found
1025,Cancer: overview Transcriptional misregulation in cancer
10269,No Human Disease data found
10279,No Human Disease data found
10295,No Human Disease data found
10327,Cancer: overview Chemical carcinogenesis - reactive oxygen species
1033,No Human Disease data found
10461,No Human Disease data found
10549,No Human Disease data found
1056,No Human Disease data found
10667,No Human Disease data found
107,Cancer: overview Pathways in cancer
10720,Cancer: overview Chemical carcinogenesis - DNA adducts
10747,Infectious disease: viral Coronavirus disease - COVID-19
108,Cancer: overview Pathways in cancer
10825,No Human Disease data found
10846,Substance dependence Morphine addiction
10858,No Human Disease data found
109,Cancer: overview Pathways in cancer
10901,No Human Disease data found
10924,No Human Disease data found
10935,No Human Disease data found
10941,Cancer: overview Chemical carcinogenesis - DNA adducts
11072,No Human Disease data found
111,Cancer: overview Pathways in cancer
112,Cancer: overview Pathways in cancer
11202,No Human Disease data found
11221,No Human Disease data found
11238,No Human Disease data found
11266,No Human Disease data found
113,Cancer: overview Pathways in cancer
11330,No Human Disease data found
11343,No Human Disease data found
114,Cancer: overview Pathways in cancer
1147,Cancer: overview Pathways in cancer
115,Cancer: overview Pathways in cancer
116447,No Human Disease data found
1178,No Human Disease data found
1200,No Human Disease data found
1215,Cardiovascular disease Diabetic cardiomyopathy
124,Endocrine and metabolic disease Alcoholic liver disease
125,Endocrine and metabolic disease Alcoholic liver disease
126,Endocrine and metabolic disease Alcoholic liver disease
1267,No Human Disease data found
128,Endocrine and metabolic disease Alcoholic liver disease
128853,No Human Disease data found
129807,No Human Disease data found
13,No Human Disease data found
130399,No Human Disease data found
131,Endocrine and metabolic disease Alcoholic liver disease
1312,No Human Disease data found
132,No Human Disease data found
132160,No Human Disease data found
133121,No Human Disease data found
134510,No Human Disease data found
1360,No Human Disease data found
1363,Endocrine and metabolic disease Type I diabetes mellitus
1374,Endocrine and metabolic disease Alcoholic liver disease
1376,Cardiovascular disease Diabetic cardiomyopathy
1384,No Human Disease data found
142679,No Human Disease data found
1429,No Human Disease data found
1431,No Human Disease data found
1432,Cancer: overview Proteoglycans in cancer
1436,Cancer: overview Pathways in cancer
1445,Infectious disease: bacterial Epithelial cell signaling in Helicobacter pylori infection
150290,No Human Disease data found
1504,No Human Disease data found
151531,No Human Disease data found
1537,Cancer: overview Chemical carcinogenesis - reactive oxygen species
1543,Cancer: overview Chemical carcinogenesis - DNA adducts
1544,Cancer: overview Chemical carcinogenesis - DNA adducts
1545,Cancer: overview MicroRNAs in cancer
1548,Cancer: overview Chemical carcinogenesis - DNA adducts
1549,Cancer: overview Chemical carcinogenesis - DNA adducts
1551,Cancer: overview Chemical carcinogenesis - DNA adducts
1553,Cancer: overview Chemical carcinogenesis - DNA adducts
1555,Cancer: overview Chemical carcinogenesis - receptor activation
1557,Cancer: overview Chemical carcinogenesis - DNA adducts
1558,Cancer: overview Chemical carcinogenesis - DNA adducts
1559,Cancer: overview Chemical carcinogenesis - DNA adducts
1562,Cancer: overview Chemical carcinogenesis - DNA adducts
1565,Drug resistance: antineoplastic Endocrine resistance
1571,Cancer: overview Chemical carcinogenesis - DNA adducts
1572,Cancer: overview Chemical carcinogenesis - reactive oxygen species
1573,Cardiovascular disease Lipid and atherosclerosis
1576,Cancer: overview Chemical carcinogenesis - DNA adducts
1577,Cancer: overview Chemical carcinogenesis - DNA adducts
1579,No Human Disease data found
1580,No Human Disease data found
1581,No Human Disease data found
1582,No Human Disease data found
1583,Endocrine and metabolic disease Cushing syndrome
1584,Endocrine and metabolic disease Cushing syndrome
1585,No Human Disease data found
1586,Endocrine and metabolic disease Cushing syndrome
1588,No Human Disease data found
1589,Endocrine and metabolic disease Cushing syndrome
1593,No Human Disease data found
1594,Infectious disease: bacterial Tuberculosis
1595,No Human Disease data found
1610,No Human Disease data found
1621,No Human Disease data found
1633,No Human Disease data found
1636,Infectious disease: viral Coronavirus disease - COVID-19
1645,Cancer: overview Chemical carcinogenesis - reactive oxygen species
1675,Infectious disease: viral Coronavirus disease - COVID-19
1719,Drug resistance: antineoplastic Antifolate resistance
1723,No Human Disease data found
1725,No Human Disease data found
1728,Cancer: overview Pathways in cancer
1733,No Human Disease data found
1734,No Human Disease data found
1735,No Human Disease data found
18,No Human Disease data found
1800,No Human Disease data found
1803,No Human Disease data found
1806,No Human Disease data found
1843,Neurodegenerative disease Parkinson disease
1844,No Human Disease data found
1845,No Human Disease data found
1846,No Human Disease data found
1847,No Human Disease data found
1848,Cancer: overview Transcriptional misregulation in cancer
1849,No Human Disease data found
1850,No Human Disease data found
1852,No Human Disease data found
189,No Human Disease data found
1890,Cancer: specific types Bladder cancer
191,No Human Disease data found
1956,Cancer: overview Pathways in cancer
196883,Cancer: overview Pathways in cancer
1969,No Human Disease data found
1990,No Human Disease data found
1991,Cancer: overview Transcriptional misregulation in cancer
199974,No Human Disease data found
2041,No Human Disease data found
2042,No Human Disease data found
2043,No Human Disease data found
2044,No Human Disease data found
2045,No Human Disease data found
2046,No Human Disease data found
2047,No Human Disease data found
2048,No Human Disease data found
2049,No Human Disease data found
2050,No Human Disease data found
2051,No Human Disease data found
2058,No Human Disease data found
2064,Cancer: overview Pathways in cancer
2065,Cancer: overview MicroRNAs in cancer
2066,Cancer: overview Proteoglycans in cancer
2098,No Human Disease data found
2135,No Human Disease data found
2147,Cancer: overview Pathways in cancer
2155,No Human Disease data found
2158,No Human Disease data found
2159,No Human Disease data found
216,No Human Disease data found
2160,No Human Disease data found
2161,No Human Disease data found
217,Endocrine and metabolic disease Alcoholic liver disease
218,No Human Disease data found
2180,No Human Disease data found
2185,Infectious disease: viral Human immunodeficiency virus 1 infection
219,Endocrine and metabolic disease Alcoholic liver disease
2193,No Human Disease data found
