Drug_ID,Adenosine receptor antagonist,Adrenergic receptor agonist,Adrenocortical suppressant,Aldosterone antagonist,Analgesic,Analgesic (narcotic),Androgen receptor antagonist,Anesthetic (inhalation),Anesthetic (topical),Angiotensin II receptor antagonist,Anti-emetic,Anti-ulcerative,Antialcohol dependence,Antiallergic,Antianxiety,Antiarrhythmic,Antiasthmatic,Anticoagulant,Anticonvulsant,Antidepressant,Antidiabetic,Antidiarrheal (adjunct),Antidyskinetic,Antidysuria,Antiepileptic,Antiglaucoma,Antihyperammonemic,Antihypertensive,Antihypertensive (intraocular),Antihypotensive,Antimigraine,Antineoplastic,Antiparkinsonian,Antipollakisuria,Antipruritic,Antipsychotic,Antisecretory (gastric acid),Antisecretory (hormone),Antispasmodic,Antitussive,Antivertigo,Antiviral,Antivitiligo,Bronchodilator,CCR5 antagonist,Calcium channel blocker,Cannabinoid receptor agonist,Cardiotonic,Contraceptive,Diagnostic,Diagnostic agent,Diagnostic aid (pancreas function determination),Diagnostic aid (pituitary function determination),Diagnostic aid (ultrasound contrast medium),Diuretic,Dopamine D1 receptor agonist,Dopamine D2 receptor agonist,Dopamine D2 receptor antagonist,Dopamine receptor agonist,Dopamine receptor antagonist,Dopamine receptor partial agonist,Endothelin receptor antagonist,Estrogen biosynthesis inhibitor,GABA-B receptor agonist,H1 receptor antagonist,H2 receptor antagonist,Hypoglycemic,Immunosuppressant,Keratolytic,Leukotriene receptor antagonist,Mediator release inhibitor,Melatonin receptor agonist,Metabotropic glutamate receptor agonist,Minor tranquilizer,Muscarinic acetylcholine receptor agonist,Muscarinic acetylcholine receptor antagonist,Muscle relaxant,Mydriatic,Narcotic,Narcotic antagonist,Nerve cells protectant,Neuroleptic,Neuromuscular blocking agent,Noradrenaline release inhibitor,Opioid receptor agonist,Opioid receptor agonist/antagonist,Opioid receptor antagonist,Overactive bladder agent,Oxytocic,Phosphodiesterase inhibitor,Pigmentation agent,Platelet activating factor antagonist,Platelet aggregation inhibitor,Potassium channel blocker,Progesterone receptor agonist,Prokinetic,Prolactin inhibitor,Prostaglandin E receptor agonist,Prostaglandin E1 receptor agonist,Prostaglandin E2 receptor agonist,Prostaglandin F receptor agonist,Prostaglandin I2 receptor agonist,Prostaglandin receptor agonist,Purinergic receptor P2Y12 antagonist,Retinoic acid receptor (RAR) agonist,Sedative-hypnotic,Selective noradrenaline reuptake inhibitor (NRI),Serotonin receptor agonist,Serotonin receptor agonist/antagonist,Serotonin receptor antagonist,Serotonin-noradrenaline reuptake inhibitor (SNRI),Skeletal muscle relaxant,Smoking cessation adjunct,Smooth muscle relaxant,Somatostatin receptor agonist,Stimulant (central),Stimulant (gastric secretory),Sulfonylurea receptor agonist,Supplement (lysine),Thromboxane A2 (TXA2) receptor antagonist,Thyrotropin-releasing hormone receptor agonist,Tocolytic,Tranquilizer,Tyrosine kinase inhibitor,Vasoconstrictor,Vasodilator,Vasopressin receptor antagonist,alpha-Adrenergic receptor agonist,alpha-Adrenergic receptor antagonist,alpha1-Adrenergic receptor agonist,alpha1-Adrenergic receptor antagonist,alpha1/beta-Adrenergic receptor antagonist,alpha2-Adrenergic receptor agonist,beta-Adrenergic receptor agonist,beta-Adrenergic receptor antagonist,beta1-Adrenergic receptor agonist,beta1-Adrenergic receptor antagonist,beta2-Adrenergic receptor agonist
D00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
