Index,KEGG Drug ID
1,D00049
2,D00059
3,D00079
4,D00094
5,D00095
6,D00106
7,D00110
8,D00113
9,D00136
10,D00139
11,D00180
12,D00225
13,D00227
14,D00232
15,D00234
16,D00235
17,D00241
18,D00255
19,D00270
20,D00274
21,D00281
22,D00283
23,D00295
24,D00300
25,D00301
26,D00306
27,D00318
28,D00332
29,D00336
30,D00356
31,D00364
32,D00371
33,D00380
34,D00394
35,D00397
36,D00400
37,D00410
38,D00411
39,D00415
40,D00419
41,D00422
42,D00426
43,D00432
44,D00437
45,D00440
46,D00442
47,D00443
48,D00451
49,D00454
50,D00465
51,D00480
52,D00483
53,D00493
54,D00494
55,D00498
56,D00499
57,D00503
58,D00509
59,D00513
60,D00514
61,D00520
62,D00521
63,D00522
64,D00523
65,D00524
66,D00525
67,D00528
68,D00540
69,D00542
70,D00559
71,D00560
72,D00563
73,D00574
74,D00598
75,D00601
76,D00604
77,D00606
78,D00607
79,D00609
80,D00613
81,D00627
82,D00632
83,D00635
84,D00645
85,D00646
86,D00665
87,D00666
88,D00673
89,D00674
90,D00675
91,D00676
92,D00682
93,D00683
94,D00684
95,D00687
96,D00688
97,D00715
98,D00726
99,D00760
100,D00765
101,D00769
102,D00775
103,D00779
104,D00780
105,D00790
106,D00837
107,D00838
108,D00845
109,D00954
110,D00965
111,D00987
112,D00996
113,D01020
114,D01022
115,D01024
116,D01051
117,D01071
118,D01103
119,D01118
120,D01126
121,D01164
122,D01227
123,D01236
124,D01242
125,D01269
126,D01295
127,D01297
128,D01324
129,D01332
130,D01346
131,D01352
132,D01358
133,D01386
134,D01390
135,D01441
136,D01454
137,D01462
138,D01603
139,D01652
140,D01692
141,D01699
142,D01712
143,D01713
144,D01717
145,D01745
146,D01782
147,D01828
148,D01871
149,D01891
150,D01925
151,D01964
152,D01965
153,D01973
154,D01994
155,D02007
156,D02066
157,D02070
158,D02076
159,D02082
160,D02147
161,D02149
162,D02150
163,D02234
164,D02237
165,D02250
166,D02278
167,D02279
168,D02327
169,D02338
170,D02340
171,D02342
172,D02349
173,D02354
174,D02356
175,D02357
176,D02358
177,D02359
178,D02361
179,D02374
180,D02566
181,D02578
182,D02588
183,D02614
184,D02671
185,D02721
186,D02725
187,D02826
188,D02884
189,D02910
190,D03165
191,D03187
192,D03210
193,D03274
194,D03365
195,D03415
196,D03442
197,D03490
198,D03503
199,D03621
200,D03642
201,D03654
202,D03858
203,D03879
204,D03880
205,D03881
206,D03966
207,D04006
208,D04034
209,D04040
210,D04375
211,D04625
212,D04716
213,D04979
214,D05113
215,D05129
216,D05246
217,D05312
218,D05341
219,D05740
220,D05792
221,D05938
222,D06056
223,D06396
