KEGG Drug ID,Efficacy and Disease
D00049,Antihyperlipidemic
D00049,Vasodilator
D00049,Supplement (nicotinic acid)
D00059,Antiparkinsonian
D00079,Oxytocic
D00079,Prostaglandin E2 receptor agonist
D00094,Antineoplastic
D00094,Keratolytic
D00094,Retinoic acid receptor (RAR) agonist
D00095,Bronchodilator
D00095,Vasoconstrictor
D00095,Adrenergic receptor agonist
D00106,Platelet aggregation inhibitor
D00106,Prostaglandin I2 receptor agonist
D00110,Anesthetic (topical)
D00110,Narcotic
D00113,Mydriatic
D00113,Muscarinic acetylcholine receptor antagonist
D00136,Antipsychotic
D00136,Antidyskinetic
D00136,Neuroleptic
D00136,Dopamine D2 receptor antagonist
D00139,Antivitiligo
D00139,Pigmentation agent
D00180,Vasodilator
D00180,Prostaglandin E1 receptor agonist
D00225,Antianxiety
D00225,Minor tranquilizer
D00225,Sedative-hypnotic
D00227,Bronchodilator
D00227,Cardiotonic
D00227,Phosphodiesterase inhibitor
D00232,Antispasmodic
D00232,Muscarinic acetylcholine receptor antagonist
D00234,Antiallergic
D00234,H1 receptor antagonist
D00235,Antiarrhythmic
D00235,Antihypertensive
D00235,Vasodilator
D00235,beta1-Adrenergic receptor antagonist
D00241,Antispasmodic
D00241,Muscle relaxant
D00241,GABA-B receptor agonist
D00255,Antihypertensive
D00255,alpha1/beta-Adrenergic receptor antagonist
D00270,Antipsychotic
D00270,Anti-emetic
D00274,Prokinetic
D00274,Serotonin receptor agonist
D00281,Antihypertensive
D00281,alpha2-Adrenergic receptor agonist
D00283,Antipsychotic
D00295,Anti-ulcerative
D00295,H2 receptor antagonist
D00300,Antiallergic
D00300,H1 receptor antagonist
D00301,Antidiarrheal (adjunct)
D00306,Anti-emetic
D00306,Cannabinoid receptor agonist
D00318,Anti-ulcerative
D00318,H2 receptor antagonist
D00332,Anticonvulsant
D00332,Antiepileptic
D00336,Antidiabetic
D00336,Hypoglycemic
D00356,Antiglaucoma
D00356,Prostaglandin F receptor agonist
D00364,Antiallergic
D00364,H1 receptor antagonist
D00371,Bronchodilator
D00371,Phosphodiesterase inhibitor
D00380,Antidiabetic
D00380,Hypoglycemic
D00380,Sulfonylurea receptor agonist
D00394,Antidepressant
D00394,Serotonin-noradrenaline reuptake inhibitor (SNRI)
D00397,Mydriatic
D00397,Muscarinic acetylcholine receptor antagonist
D00400,Antihypertensive
D00400,Angiotensin II receptor antagonist
D00410,Diagnostic aid (pituitary function determination)
D00411,Antiasthmatic
D00411,Leukotriene receptor antagonist
D00415,Antimigraine
D00415,Vasoconstrictor
D00415,Serotonin receptor agonist
D00419,Anti-ulcerative
