Index,pro_id
1,hsa:10161
2,hsa:10800
3,hsa:11255
4,hsa:1128
5,hsa:1129
6,hsa:1131
7,hsa:1132
8,hsa:1133
9,hsa:1234
10,hsa:1241
11,hsa:1268
12,hsa:134
13,hsa:135
14,hsa:136
15,hsa:140
16,hsa:146
17,hsa:147
18,hsa:148
19,hsa:150
20,hsa:151
21,hsa:152
22,hsa:153
23,hsa:154
24,hsa:155
25,hsa:1812
26,hsa:1813
27,hsa:1814
28,hsa:1815
29,hsa:1816
30,hsa:185
31,hsa:1909
32,hsa:1910
33,hsa:222545
34,hsa:23620
35,hsa:2550
36,hsa:2846
37,hsa:2911
38,hsa:2912
39,hsa:2913
40,hsa:2914
41,hsa:2915
42,hsa:2916
43,hsa:2917
44,hsa:2918
45,hsa:3269
46,hsa:3274
47,hsa:3350
48,hsa:3351
49,hsa:3352
50,hsa:3354
51,hsa:3355
52,hsa:3356
53,hsa:3357
54,hsa:3358
55,hsa:3360
56,hsa:3361
57,hsa:3362
58,hsa:3363
59,hsa:338442
60,hsa:3577
61,hsa:4543
62,hsa:4985
63,hsa:4986
64,hsa:4988
65,hsa:5028
66,hsa:5029
67,hsa:5030
68,hsa:5031
69,hsa:5032
70,hsa:552
71,hsa:554
72,hsa:56413
73,hsa:57105
74,hsa:5724
75,hsa:5729
76,hsa:5731
77,hsa:5732
78,hsa:5733
79,hsa:5737
80,hsa:5739
81,hsa:59340
82,hsa:6010
83,hsa:64805
84,hsa:6751
85,hsa:6752
86,hsa:6753
87,hsa:6755
88,hsa:6915
89,hsa:7201
90,hsa:8843
91,hsa:886
92,hsa:887
93,hsa:9052
94,hsa:9283
95,hsa:9934
