KEGG Drug ID,Efficacy and Disease
D00035,Supplement (proline)
D00110,Anesthetic (topical)
D00110,Narcotic
D00136,Antipsychotic
D00136,Antidyskinetic
D00136,Neuroleptic
D00136,Dopamine D2 receptor antagonist
D00195,Analgesic (narcotic)
D00195,Antitussive
D00195,Opioid receptor agonist
D00219,Antidiabetic
D00219,Hypoglycemic
D00219,Sulfonylurea receptor agonist
D00225,Antianxiety
D00225,Minor tranquilizer
D00225,Sedative-hypnotic
D00227,Bronchodilator
D00227,Cardiotonic
D00227,Phosphodiesterase inhibitor
D00228,Antidepressant
D00228,Serotonin-noradrenaline reuptake inhibitor (SNRI)
D00234,Antiallergic
D00234,H1 receptor antagonist
D00252,Analgesic
D00252,Antiepileptic
D00274,Prokinetic
D00274,Serotonin receptor agonist
D00283,Antipsychotic
D00293,Antianxiety
D00293,Minor tranquilizer
D00293,Sedative-hypnotic
D00294,Antihypoglycemia
D00294,Antihypertensive
D00294,ATP-sensitive potassium channel opener
D00303,Antiarrhythmic
D00303,Sodium channel blocker
D00319,Antihypertensive
D00319,Vasodilator
D00319,Calcium channel blocker
D00326,Antidepressant
D00326,Selective serotonin reuptake inhibitor (SSRI)
D00329,Sedative-hypnotic
D00331,Diuretic
D00331,Na-K-Cl cotransporter inhibitor
D00332,Anticonvulsant
D00332,Antiepileptic
D00335,Antidiabetic
D00335,Hypoglycemic
D00335,Sulfonylurea receptor agonist
D00336,Antidiabetic
D00336,Hypoglycemic
D00338,Sedative-hypnotic
D00340,Antihypertensive
D00340,Diuretic
D00340,Na+-Cl- symport inhibitor
D00345,Antihypertensive
D00345,Diuretic
D00345,Na+-Cl- symport inhibitor
D00349,Antihypertensive
D00349,Calcium channel blocker
D00351,Antifungal
D00351,Ergosterol biosynthesis inhibitor
D00354,Anti-bipolar disorder
D00354,Anticonvulsant
D00354,Antiepileptic
D00358,Anesthetic (topical)
D00358,Antiarrhythmic
D00358,Sodium channel blocker
D00364,Antiallergic
D00364,H1 receptor antagonist
D00367,Appetite suppressant
D00373,Antipsychotic
D00373,Sedative-hypnotic
D00373,Dopamine D2 receptor antagonist
D00379,Antidiabetic
D00379,Hypoglycemic
D00379,Sulfonylurea receptor agonist
D00380,Antidiabetic
D00380,Hypoglycemic
D00380,Sulfonylurea receptor agonist
D00392,Antiepileptic
D00394,Antidepressant
D00394,Serotonin-noradrenaline reuptake inhibitor (SNRI)
D00418,Antihypertensive
D00418,Hair growth stimulant (topical)
D00418,ATP-sensitive potassium channel opener
D00437,Antihypertensive
D00437,Vasodilator
D00437,Calcium channel blocker
D00438,Antihypertensive
D00438,Vasodilator
D00438,Calcium channel blocker
D00451,Antimigraine
D00451,Vasoconstrictor
D00451,Serotonin receptor agonist
D00456,Anti-emetic
D00456,Serotonin 5-HT3 receptor antagonist
D00464,Minor tranquilizer
D00474,Antiepileptic
D00477,Antiarrhythmic
D00477,Sodium channel blocker
D00480,Antiallergic
D00480,Anti-emetic
D00480,Antiparkinsonian
D00480,H1 receptor antagonist
D00495,Anticonvulsant
D00499,Sedative-hypnotic
D00504,Anticonvulsant
D00512,Antiepileptic
D00513,Antiarrhythmic
D00513,Antihypertensive
D00513,Vasodilator
D00513,beta-Adrenergic receptor antagonist
D00519,Antihypertensive
D00519,Diuretic
D00519,Na+-Cl- symport inhibitor
D00521,Antiallergic
D00521,H1 receptor antagonist
D00524,Antihypertensive (intraocular)
D00524,Muscarinic acetylcholine receptor agonist
D00528,Stimulant (central)
D00528,Adenosine receptor antagonist
