Index,KEGG Drug ID
1,D00035
2,D00110
3,D00136
4,D00195
5,D00219
6,D00225
7,D00227
8,D00228
9,D00234
10,D00252
11,D00274
12,D00283
13,D00293
14,D00294
15,D00303
16,D00319
17,D00326
18,D00329
19,D00331
20,D00332
21,D00335
22,D00336
23,D00338
24,D00340
25,D00345
26,D00349
27,D00351
28,D00354
29,D00358
30,D00364
31,D00367
32,D00373
33,D00379
34,D00380
35,D00392
36,D00394
37,D00418
38,D00437
39,D00438
40,D00451
41,D00456
42,D00464
43,D00474
44,D00477
45,D00480
46,D00495
47,D00499
48,D00504
49,D00512
50,D00513
51,D00519
52,D00521
53,D00524
54,D00528
55,D00530
56,D00533
57,D00536
58,D00537
59,D00538
60,D00539
61,D00542
62,D00543
63,D00544
64,D00545
65,D00546
66,D00547
67,D00548
68,D00549
69,D00550
70,D00552
71,D00553
72,D00560
73,D00563
74,D00574
75,D00593
76,D00594
77,D00607
78,D00611
79,D00615
80,D00616
81,D00617
82,D00618
83,D00619
84,D00629
85,D00631
86,D00633
87,D00636
88,D00638
89,D00639
90,D00640
91,D00642
92,D00647
93,D00648
94,D00649
95,D00650
96,D00651
97,D00654
98,D00656
99,D00658
100,D00677
101,D00678
102,D00694
103,D00697
104,D00704
105,D00708
106,D00709
107,D00711
108,D00726
109,D00732
110,D00733
111,D00735
112,D00738
113,D00739
114,D00740
115,D00741
116,D00759
117,D00760
118,D00761
119,D00765
120,D00771
121,D00775
122,D00779
123,D00791
124,D00798
125,D00799
126,D00809
127,D00812
128,D00816
129,D00823
130,D00831
131,D00960
132,D00963
133,D00964
134,D01071
135,D01108
136,D01111
137,D01118
138,D01242
139,D01243
140,D01253
141,D01256
142,D01275
143,D01287
144,D01295
145,D01350
146,D01448
147,D01450
148,D01453
149,D01575
150,D01599
151,D01603
152,D01712
153,D01768
154,D01799
155,D01828
156,D01854
157,D01969
158,D02041
159,D02086
160,D02087
161,D02088
162,D02092
163,D02098
164,D02101
165,D02163
166,D02173
167,D02204
168,D02207
169,D02234
170,D02237
171,D02253
172,D02261
173,D02262
174,D02272
175,D02347
176,D02356
177,D02360
178,D02362
179,D02409
180,D02461
181,D02485
182,D02546
183,D02566
184,D02630
185,D02914
186,D03037
187,D03180
188,D03274
189,D03365
190,D03450
191,D03580
192,D03742
193,D03826
194,D03830
195,D03878
196,D03991
197,D04034
198,D04048
199,D04370
200,D04790
201,D04985
202,D04999
203,D05024
204,D05077
205,D05156
206,D05453
207,D05458
208,D05461
209,D06106
210,D06172
