Index,pro_id
1,hsa:10008
2,hsa:10060
3,hsa:10369
4,hsa:1080
5,hsa:11254
6,hsa:11280
7,hsa:1134
8,hsa:1135
9,hsa:1136
10,hsa:1137
11,hsa:1138
12,hsa:1139
13,hsa:1140
14,hsa:1141
15,hsa:1144
16,hsa:1145
17,hsa:116443
18,hsa:116444
19,hsa:1181
20,hsa:169522
21,hsa:170572
22,hsa:200909
23,hsa:22953
24,hsa:23630
25,hsa:23704
26,hsa:2554
27,hsa:2555
28,hsa:2556
29,hsa:2557
30,hsa:2558
31,hsa:2559
32,hsa:2560
33,hsa:2561
34,hsa:2562
35,hsa:2563
36,hsa:2564
37,hsa:2566
38,hsa:2567
39,hsa:2569
40,hsa:2570
41,hsa:26251
42,hsa:27012
43,hsa:27092
44,hsa:27094
45,hsa:27133
46,hsa:27345
47,hsa:2741
48,hsa:2742
49,hsa:2743
50,hsa:285242
51,hsa:2890
52,hsa:2891
53,hsa:2892
54,hsa:2893
55,hsa:2895
56,hsa:2897
57,hsa:2898
58,hsa:2899
59,hsa:2900
60,hsa:2901
61,hsa:2902
62,hsa:2903
63,hsa:2904
64,hsa:2905
65,hsa:2906
66,hsa:3359
67,hsa:3708
68,hsa:3710
69,hsa:3736
70,hsa:3737
71,hsa:3738
72,hsa:3739
73,hsa:3741
74,hsa:3742
75,hsa:3743
76,hsa:3744
77,hsa:3745
78,hsa:3746
79,hsa:3747
80,hsa:3748
81,hsa:3749
82,hsa:3750
83,hsa:3751
84,hsa:3752
85,hsa:3753
86,hsa:3754
87,hsa:3755
88,hsa:3756
89,hsa:3757
90,hsa:3758
91,hsa:3759
92,hsa:3760
93,hsa:3761
94,hsa:3762
95,hsa:3763
96,hsa:3764
97,hsa:3765
98,hsa:3766
99,hsa:3767
100,hsa:3768
101,hsa:3769
102,hsa:3772
103,hsa:3773
104,hsa:3775
105,hsa:3776
106,hsa:3778
107,hsa:3779
108,hsa:3780
109,hsa:3781
110,hsa:3782
111,hsa:3783
112,hsa:3784
113,hsa:3785
114,hsa:3786
115,hsa:3787
116,hsa:3788
117,hsa:3790
118,hsa:40
119,hsa:41
120,hsa:5023
121,hsa:5024
122,hsa:5025
123,hsa:5026
124,hsa:5027
125,hsa:50801
126,hsa:51305
127,hsa:51802
128,hsa:5310
129,hsa:54207
130,hsa:55503
131,hsa:55515
132,hsa:55584
133,hsa:55799
134,hsa:55800
135,hsa:55879
136,hsa:56479
137,hsa:56659
138,hsa:56660
139,hsa:57053
140,hsa:57192
141,hsa:57657
142,hsa:59284
143,hsa:60598
144,hsa:6261
145,hsa:6262
146,hsa:6263
147,hsa:6323
148,hsa:6324
149,hsa:6326
150,hsa:6328
151,hsa:6329
152,hsa:6330
153,hsa:6331
154,hsa:6332
155,hsa:6334
156,hsa:6335
157,hsa:6336
158,hsa:6337
159,hsa:6338
160,hsa:6339
161,hsa:6340
162,hsa:6529
163,hsa:6530
164,hsa:6531
165,hsa:6532
166,hsa:6534
167,hsa:6833
168,hsa:7225
169,hsa:773
170,hsa:774
171,hsa:775
172,hsa:776
173,hsa:777
174,hsa:778
175,hsa:779
176,hsa:781
177,hsa:782
178,hsa:783
179,hsa:784
180,hsa:785
181,hsa:786
182,hsa:7881
183,hsa:8001
184,hsa:81033
185,hsa:83795
186,hsa:8514
187,hsa:8645
188,hsa:8911
189,hsa:8912
190,hsa:8913
191,hsa:8973
192,hsa:89822
193,hsa:8989
194,hsa:90134
195,hsa:9127
196,hsa:9132
197,hsa:9177
198,hsa:9254
199,hsa:93107
200,hsa:9311
201,hsa:9312
202,hsa:93589
203,hsa:9424
204,hsa:9992
