KEGG Drug ID,Efficacy and Disease
D00040,Pharmaceutic aid (emulsifying)
D00066,Menstruation disorder agent
D00066,Luteal replacement
D00066,Progesterone receptor agonist
D00067,Replenisher (estrogen)
D00067,Estrogen receptor agonist
D00075,Replenisher (androgen)
D00075,Androgen receptor agonist
D00088,Anti-inflammatory
D00088,Glucocorticoid receptor agonist
D00094,Antineoplastic
D00094,Keratolytic
D00094,Retinoic acid receptor (RAR) agonist
D00105,Menstruation disorder agent
D00105,Estrogen receptor agonist
D00129,Osteoporosis agent
D00129,Vitamin D receptor agonist
D00143,Prohormone
D00163,Anticholelithogenic
D00182,Contraceptive
D00182,Progesterone receptor agonist
D00187,Antirachitic
D00187,Vitamin D receptor agonist
D00188,Antirachitic
D00188,Vitamin D receptor agonist
D00211,Antibacterial
D00211,RNA polymerase inhibitor
D00246,Antiasthmatic
D00246,Anti-inflammatory
D00246,Glucocorticoid receptor agonist
D00279,Antihyperlipidemic
D00279,Triglyceride synthesis inhibitor
D00279,Peroxisome proliferator-activated receptor (PPAR) alpha agonist
D00299,Antihypoparathyroidism
D00299,Vitamin D receptor agonist
D00312,Replenisher (estrogen)
D00312,Estrogen receptor agonist
D00316,Antipsoriatic
D00316,Retinoic acid receptor agonist
D00327,Antineoplastic
D00327,Replenisher (androgen)
D00327,Androgen receptor agonist
D00348,Anti-acne
D00348,Keratolytic
D00348,Retinoic acid receptor (RAR) agonist
D00443,Antihypertensive
D00443,Diuretic
D00443,Aldosterone antagonist
D00462,Anabolic
D00462,Androgen receptor agonist
D00506,Antianxiety
D00506,Anticonvulsant
D00506,Sedative-hypnotic
D00554,Antineoplastic
D00554,Menstruation disorder agent
D00554,Estrogen receptor agonist
D00565,Antihyperlipidemic
D00565,Triglyceride synthesis inhibitor
D00565,Peroxisome proliferator-activated receptor (PPAR) alpha agonist
D00577,Tocolytic
D00577,Estrogen receptor agonist
D00585,Abortifacient
D00585,Contraceptive
D00585,Progesterone receptor antagonist
D00586,Antineoplastic
D00586,Androgen receptor antagonist
D00596,Antidiabetic
D00596,Peroxisome proliferator-activated receptor (PPAR) gamma agonist
D00627,Antihypertensive
D00627,Angiotensin II receptor antagonist
D00690,Antiasthmatic
D00690,Anti-inflammatory
D00690,Glucocorticoid receptor agonist
D00730,Anesthetic (topical)
D00730,Potassium channel blocker
D00898,Replenisher (estrogen)
D00898,Estrogen receptor agonist
D00930,Antihyperparathyroidism
D00930,Vitamin D receptor agonist
D00950,Contraceptive
D00950,Progesterone receptor agonist
D00951,Antineoplastic
D00951,Contraceptive
D00951,Progesterone receptor agonist
D00954,Contraceptive
D00954,Progesterone receptor agonist
D00956,Anabolic
D00956,Androgen receptor agonist
D00961,Antineoplastic
D00961,Androgen receptor antagonist
D00962,Ovulation inducing agent
D00962,Gonadotropin stimulant
D00962,Estrogen receptor agonist/antagonist
D00965,Antineoplastic
D00965,Androgen receptor antagonist
D01115,Antihypertensive
D01115,Aldosterone antagonist
D01132,Anti-acne
D01132,Antipsoriatic
D01132,Keratolytic
D01132,Retinoic acid receptor (RAR) agonist
D01161,Antineoplastic
D01161,Estrogen receptor agonist/antagonist
D01217,Menstruation disorder agent
D01217,Progesterone receptor agonist
D01294,Contraceptive
D01294,Progesterone receptor agonist
D01387,Anti-inflammatory
D01387,Glucocorticoid receptor agonist
D01441,Antineoplastic
D01441,Tyrosine kinase inhibitor
D01689,Anti-inflammatory (topical)
D01689,Glucocorticoid receptor agonist
D02217,Osteoporosis agent
D02217,Selective estrogen receptor modulator (SERM)
D02367,Contraceptive
D02367,Progesterone receptor agonist
D04066,Antineoplastic
D04066,Alkylating agent
D05341,Diagnostic aid (ultrasound contrast medium)
