Drug_ID,Abortifacient,Aldosterone antagonist,Alkylating agent,Anabolic,Androgen receptor agonist,Androgen receptor antagonist,Anesthetic (topical),Angiotensin II receptor antagonist,Anti-acne,Anti-inflammatory,Anti-inflammatory (topical),Antianxiety,Antiasthmatic,Antibacterial,Anticholelithogenic,Anticonvulsant,Antidiabetic,Antihyperlipidemic,Antihyperparathyroidism,Antihypertensive,Antihypoparathyroidism,Antineoplastic,Antipsoriatic,Antirachitic,Contraceptive,Diagnostic aid (ultrasound contrast medium),Diuretic,Estrogen receptor agonist,Estrogen receptor agonist/antagonist,Glucocorticoid receptor agonist,Gonadotropin stimulant,Keratolytic,Luteal replacement,Menstruation disorder agent,Osteoporosis agent,Ovulation inducing agent,Peroxisome proliferator-activated receptor (PPAR) alpha agonist,Peroxisome proliferator-activated receptor (PPAR) gamma agonist,Potassium channel blocker,Progesterone receptor agonist,Progesterone receptor antagonist,Prohormone,RNA polymerase inhibitor,Replenisher (androgen),Replenisher (estrogen),Retinoic acid receptor (RAR) agonist,Retinoic acid receptor agonist,Sedative-hypnotic,Selective estrogen receptor modulator (SERM),Tocolytic,Triglyceride synthesis inhibitor,Tyrosine kinase inhibitor,Vitamin D receptor agonist
D00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D00067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D00075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D00088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
D00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
