KEGG Drug ID,Efficacy and Disease
D00448,"Anti-inflammatory disease, Antirheumatic"
D00037,"Pharmaceutic aid (buffering agent, flavor)"
D00155,"Antineoplastic, Potentiator"
D00021,Supplement (phenylalanine)
D01441,"Antineoplastic, Tyrosine kinase inhibitor"
D00279,"Antihyperlipidemic, Triglyceride synthesis inhibitor, Peroxisome proliferator-activated receptor (PPAR) alpha agonist"
D00043,"Acetylcholinesterase inhibitor, Butyrylcholinesterase inhibitor (ophthalmic)"
D00160,"Antifibrinolytic, Anti-inflammatory, Plasmin inhibitor"
D00039,Supplement (valine)
D00065,Supplement (isoleucine)
D00136,"Antipsychotic, Antidyskinetic, Neuroleptic, Dopamine D2 receptor antagonist"
D02323,"Hypoglycemic, Aldose reductase inhibitor"
D00107,"Antiallergic, Immunosuppressant, Calcineurin inhibitor"
D00184,"Immunosuppressant, Calcineurin inhibitor"
D01977,"Antineoplastic, Receptor tyrosine kinase inhibitor"
D03218,"Antineoplastic, Receptor tyrosine kinase inhibitor"
D03252,"Antineoplastic, Tyrosine kinase inhibitor"
D04024,"Antineoplastic, Receptor tyrosine kinase inhibitor"
D00217,"Analgesic, Antipyretic"
D00577,"Tocolytic, Estrogen receptor agonist"
D03670,"Antidote (iron), Chelating agent"
D01223,"Antineoplastic, Antimetabolite"
D00045,"Antiarrhythmic, Cardiac depressant, Diagnostic aid (cardiac stress test), Adenosine receptor agonist"
D02769,Supplement (nutrient)
D00900,"Antiviral, Neuraminidase inhibitor"
D00902,"Antiviral, Neuraminidase inhibitor"
D00227,"Bronchodilator, Cardiotonic, Phosphodiesterase inhibitor"
D00231,"Cardiotonic, Phosphodiesterase 3 inhibitor"
D00371,"Bronchodilator, Phosphodiesterase inhibitor"
D00417,"Cardiotonic, Phosphodiesterase 3 inhibitor"
D00501,Vasodilator
D00528,"Stimulant (central), Adenosine receptor antagonist, Phosphodiesterase inhibitor"
D00691,"Bronchodilator, Cardiotonic, Phosphodiesterase inhibitor"
D01133,"Cardiotonic, Phosphodiesterase inhibitor"
D01704,"Antiasthmatic, Anti-inflammatory, Phosphodiesterase IV inhibitor"
D02008,"Antihypertensive, Impotence therapy, Phosphodiesterase V inhibitor"
D02017,"Bronchodilator, Phosphodiesterase inhibitor"
D03217,"Impotence therapy, Phosphodiesterase V inhibitor"
D00139,"Antivitiligo, Pigmentation agent"
D00225,"Antianxiety, Minor tranquilizer, Sedative-hypnotic"
D00380,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D00394,"Antidepressant, Serotonin-noradrenaline reuptake inhibitor (SNRI)"
D00410,Diagnostic aid (pituitary function determination)
D00437,"Antihypertensive, Vasodilator, Calcium channel blocker"
D00542,Anesthetic (inhalation)
D00574,"Adrenocortical suppressant, Antineoplastic, Estrogen biosynthesis inhibitor"
D01071,Sedative-hypnotic
D02335,"Hemostatic, Supplement (vitamin K)"
D00218,"Antiglaucoma, Carbonic anhydrase inhibitor"
D00340,"Antihypertensive, Diuretic, Na+-Cl- symport inhibitor"
D00518,"Antiglaucoma, Antiepileptic, Carbonic anhydrase inhibitor"
